Fecha,Hora,Categoría,Proveedor,Producto,Unidad,Cantidad,Precio_Unitario,Subtotal,IGV,Total,Observaciones
2026-01-05,08:00,ABARROTES,Campo Grande,vinagre alpesa blanco 5lt,und,1,S/17.00,S/17.00,S/3.06,S/20.06,IGV incluido
2026-01-05,08:00,ABARROTES,Campo Grande,vinagre tinto florida 1lt,und,2,S/5.00,S/10.00,S/1.80,S/11.80,IGV incluido
2026-01-05,08:00,ABARROTES,Campo Grande,aceite vicentina 20l balde,und,1,S/136.00,S/136.00,S/24.48,S/160.48,IGV incluido
2026-01-05,08:00,ABARROTES,Campo Grande,papel toalla rendpel pro 120mt,und,1,S/12.00,S/12.00,S/2.16,S/14.16,IGV incluido
2026-01-05,08:00,ABARROTES,Campo Grande,durazno en mitades vallenorte 820gr,cja,1,S/50.00,S/50.00,S/9.00,S/59.00,IGV incluido
2026-01-05,08:00,ABARROTES,Campo Grande,aceite belini 900ml,cja,1,S/72.00,S/72.00,S/12.96,S/84.96,IGV incluido
2026-01-05,08:00,ABARROTES,Campo Grande,azúcar rubia cartavio 50kg,sac,1,S/144.00,S/144.00,S/25.92,S/169.92,IGV incluido
2026-01-05,08:00,ABARROTES,Campo Grande,fideo nicolini 450gr spaguetti,pqt,3,S/42.00,S/126.00,S/22.68,S/148.68,IGV incluido
2026-01-05,08:00,ABARROTES,Campo Grande,fideo nicolini 250gr tornillo,pqt,1,S/21.00,S/21.00,S/3.78,S/24.78,IGV incluido
2026-01-05,08:00,ABARROTES,Campo Grande,sal flor marina,sac,1,S/16.00,S/16.00,S/2.88,S/18.88,IGV incluido
2026-01-05,08:00,ABARROTES,Campo Grande,gelatina kaylua 200gr,pqt,1,S/55.00,S/55.00,S/9.90,S/64.90,IGV incluido
2026-01-05,08:00,ABARROTES,Campo Grande,flan umsha 100gr,und,5,S/2.20,S/11.00,S/1.98,S/12.98,IGV incluido
2026-01-05,08:00,ABARROTES,Campo Grande,pudin umsha 100gr,und,5,S/2.40,S/12.00,S/2.16,S/14.16,IGV incluido
2026-01-05,08:00,ABARROTES,Campo Grande,lavavajilla lesly 1kg,und,3,S/5.90,S/17.70,S/3.19,S/20.89,IGV incluido
